PercLoss train,DiscLoss train,PSNR train,SSIM train,PercLoss val,DiscLoss val,PSNR val,SSIM val
0.1307573831,0.1790671329,24.39462081,0.8386,0.1304,0.1597,22.4300499,0.7674
0.1322730244,0.2569043202,22.09998068,0.7556,0.1279,0.2562,21.24396896,0.7305
0.1371557843,0.2183952238,22.70592275,0.7811,0.1311,0.2082,20.52356911,0.7055
0.1441511692,0.2191147387,24.1213059,0.8233,0.1313,0.2087,22.19364357,0.7606
0.139904918,0.2538143346,23.81329818,0.8123,0.1332,0.2425,21.50115204,0.7313
0.1471839074,0.1828020848,23.88682142,0.8208,0.1338,0.1739,22.56347084,0.7673
0.1480812435,0.3112716041,23.46613031,0.8014,0.1343,0.2983,22.68047142,0.7776
0.1415761564,0.1129345851,22.93059718,0.7806,0.128,0.1093,20.92269516,0.7187
0.1355431667,0.2097569422,21.38988399,0.735,0.1298,0.1913,20.76874352,0.7125
0.1379241485,0.1681497223,22.38080051,0.7653,0.1306,0.1485,21.73079872,0.7419
0.1448519622,0.1966380165,21.79130145,0.7424,0.1315,0.1837,21.72438431,0.7411
0.154923296,0.1439167414,24.41723334,0.8352,0.1363,0.1387,23.34931946,0.7949
0.1380665136,0.2098565707,24.43338867,0.8367,0.1372,0.1907,23.11604691,0.7895
0.1459842278,0.1598360049,23.11429727,0.7934,0.13,0.14,21.6087532,0.7392
0.1512060482,0.2001062328,23.96116829,0.8198,0.1313,0.1874,21.63256454,0.744
0.1367236121,0.3012774757,20.31650621,0.6939,0.1328,0.2875,20.16778374,0.695
0.1463786017,0.2157554248,22.93045347,0.7798,0.1269,0.2048,22.62527084,0.7712
0.1318037603,0.151781724,25.33095657,0.8664,0.1288,0.1431,24.06695175,0.8266
0.1288953195,0.1860670149,23.42977929,0.804,0.1285,0.1806,21.49836731,0.7402
0.1456012979,0.1357738761,23.55481754,0.8059,0.1306,0.1319,21.88692665,0.7484
0.1399201483,0.12829978,22.7661651,0.7775,0.1294,0.127,22.11533737,0.7549
0.1372598673,0.2108559141,23.12314894,0.7875,0.136,0.1913,22.72319031,0.7788
0.1413417713,0.2294687604,21.44327054,0.7319,0.124,0.2205,21.3288517,0.7264
0.1318069584,0.1957401471,22.81054847,0.7794,0.1301,0.1929,22.18066406,0.7636
0.1292131016,0.1570180842,25.02106528,0.8555,0.1269,0.147,22.60119629,0.7744
0.1415850457,0.174073636,21.70431596,0.7424,0.1303,0.1662,21.28870583,0.7249
0.1364090201,0.2234589883,25.95069015,0.8906,0.1302,0.2166,23.55946732,0.8014
0.1481693308,0.1868993266,23.31154537,0.8006,0.1313,0.1773,22.50951767,0.7693
0.1359436101,0.1672984408,22.83471037,0.7854,0.1328,0.151,22.0121727,0.7561
